date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:30:08	107526/107526	---M--	200	added ('OK')	application/javascript	etag:%224ca0833-1a406-53ec68433fe80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/jquery.themepunch.tools.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/jquery.themepunch.tools.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:14	28418/28418	---M--	200	added ('OK')	application/javascript	etag:%224ca0823-6f02-5418273541f00%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/extensions/revolution.extension.slideanims.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/extensions/revolution.extension.slideanims.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:20	50176/50176	---M--	200	added ('OK')	application/javascript	etag:%224ca081f-c400-543b5e4e66800%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/extensions/revolution.extension.layeranimation.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/extensions/revolution.extension.layeranimation.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:24	26071/26071	---M--	200	added ('OK')	application/javascript	etag:%224ca0821-65d7-541ff8ae0af80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/extensions/revolution.extension.navigation.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/extensions/revolution.extension.navigation.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:27	10679/10679	---M--	200	added ('OK')	application/javascript	etag:%224ca0822-29b7-5428a64771880%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/extensions/revolution.extension.parallax.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/revolution/js/extensions/revolution.extension.parallax.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:28	8488/8488	---M--	200	added ('OK')	application/javascript	etag:%224ca0774-2128-526d3fe4d7f80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/js/lightbox.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/js/lightbox.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:30	1411/1411	---M--	200	added ('OK')	application/javascript	etag:%224ca0756-583-53e3645d07a00%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/contact.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/contact.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:32	1546/1546	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202020%2012:30:30%20GMT	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/fonts/ionicons.eot?v=2.0.0	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/fonts/ionicons28b5.eot	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css)
17:30:34	1546/1546	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202020%2012:30:32%20GMT	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/fonts/ionicons.ttf?v=2.0.0	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/fonts/ionicons28b5.ttf	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css)
17:30:36	1546/1546	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202020%2012:30:34%20GMT	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/fonts/ionicons.woff?v=2.0.0	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/fonts/ionicons28b5.woff	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css)
17:30:38	30546/30546	---M--	200	added ('OK')	application/javascript	etag:%224ca075b-7752-58141dfd9bf00%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/jquery.gmap.min.js	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/js/jquery.gmap.min.js	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/one-page.html)
17:30:38	1546/1546	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202020%2012:30:36%20GMT	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/fonts/ionicons.svg?v=2.0.0	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/fonts/ionicons28b5.svg	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css)
17:30:40	1546/1546	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202020%2012:30:38%20GMT	http://bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/pushy/img/arrow.svg	bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/pushy/img/arrow.svg	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css)
17:30:42	1546/1546	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202020%2012:30:40%20GMT	http://bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/flexslider/fonts/flexslider-icon.eot	bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/flexslider/fonts/flexslider-icon.eot	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css)
17:30:44	1546/1546	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202020%2012:30:42%20GMT	http://bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/flexslider/fonts/flexslider-icon.eot?	bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/flexslider/fonts/flexslider-icond41d.eot	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css)
17:30:46	1546/1546	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202020%2012:30:44%20GMT	http://bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/flexslider/fonts/flexslider-icon.woff	bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/flexslider/fonts/flexslider-icon.woff	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css)
17:30:48	1546/1546	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202020%2012:30:46%20GMT	http://bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/flexslider/fonts/flexslider-icon.ttf	bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/flexslider/fonts/flexslider-icon.ttf	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css)
17:30:50	1546/1546	---M-Z	404	error ('Not%20Found')	text/html	date:Tue,%2010%20Mar%202020%2012:30:48%20GMT	http://bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/flexslider/fonts/flexslider-icon.svg	bootstraplovers.com/bootstrap4/resto-2.3/html/plugins/flexslider/fonts/flexslider-icon.svg	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/css/plugins/plugins.css)
17:30:52	280/280	---M--	200	added ('OK')	image/png	etag:%224ca076b-118-526d3fe4d7f80%22	http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/images/close.png	bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/images/close.png	(from http://bootstraplovers.com/bootstrap4/resto-2.3/html/assets/lightbox-2/css/lightbox.min.css)
